#PATH_BARREL
$13,9,1.000000
$40,20,1.000000
$206,17,1.000000
$219,27,1.000000
$220,71,1.000000
$205,55,1.000000
$188,55,1.000000
$176,63,1.000000
$153,69,1.000000
$27,64,1.000000
$6,70,1.000000
$1,78,1.000000
$-1,118,1.000000
$10,104,1.000000
$23,104,1.000000
$33,116,1.000000
$289,118,1.000000

#PATH_WINBAL
$41,4,2.280000
$74,9,2.280000
$100,15,2.280000
$129,24,2.280000
$145,40,2.280000
$147,62,2.280000
$132,75,2.280000
$102,87,2.280000
$82,82,2.280000
$73,65,2.280000
$86,33,2.280000
$115,22,2.280000
$141,29,2.280000
$181,29,2.280000
$206,40,2.280000
$226,61,2.280000
$232,83,2.280000
$226,93,2.280000
$213,102,2.280000
$202,74,2.280000
$209,57,2.280000
$233,42,2.280000
$255,23,2.280000
$294,14,2.280000

#PATH_WINCOW
$50,55,2.280000
$83,60,2.280000
$109,66,2.280000
$138,75,2.280000
$154,91,2.280000
$156,113,2.280000
$141,126,2.280000
$111,138,2.280000
$91,133,2.280000
$82,116,2.280000
$95,84,2.280000
$124,73,2.280000
$150,80,2.280000
$190,80,2.280000
$215,91,2.280000
$224,138,2.280000

