#EXPLODE
$0,-1,3.000000
$5,-12,3.000000
$9,-21,3.000000
$20,-24,3.000000
$29,-19,3.000000
$35,-5,3.000000
$40,17,3.000000
$44,44,3.000000
$49,73,3.000000

#PATH_COPTER_FLYIN
$-62,29,2.000000
$17,31,2.000000
$43,40,2.000000
$57,54,2.000000
$59,67,2.000000
$51,81,2.000000
$33,85,2.000000
$20,78,2.000000
$14,66,2.000000
$14,51,2.000000
$23,43,2.000000
$37,32,2.000000
$53,31,2.000000
$65,31,2.000000

#PATH_COPTER_OUTRO
$0,0,2.000000
$32,-16,2.000000
$96,-32,2.000000
$192,-48,2.000000
$256,-32,2.000000

#PATH_POWERUP_IDLE
$0,0,1.000000
$16,-16,1.000000
$16,-32,1.000000
$0,-48,1.000000
$-16,-40,1.000000
$0,-24,1.000000
$16,-48,1.000000
$32,-32,1.000000
$32,-16,1.000000
$16,0,1.000000
$-16,-24,1.000000
$-32,-8,1.000000
$-32,8,1.000000
$-16,16,1.000000
$0,0,1.000000

#

#

